data_venda,id_venda,tipo_cliente,produto,marca,quantidade,preco_unitario,canal_venda,forma_pagamento,cnpj,validacao_cnpj
2024-01-13,200113,comercio,galao_25l,Lindoya,19,26.0,whatsapp,dinheiro,41.337.891/0001-26,OK
2024-01-22,200114,comercio,gas_p45,Copagaz,12,380.0,whatsapp,credito,25.800.259/0001-14,OK
2024-01-15,200115,consumidor_final,gas_p13,Liquigás,42,110.0,balcao,debito,,OK
2024-01-25,200116,comercio,gas_p45,Fogás,8,380.0,whatsapp,dinheiro,35.272.103/0001-93,OK
2024-01-28,200117,comercio,agua_500ml,Crystal,44,2.5,balcao,pix,73.862.230/0001-37,OK
2024-01-30,200118,comercio,gas_p45,Fogás,19,380.0,balcao,credito,76.289.508/0001-25,OK
2024-01-02,200119,consumidor_final,gas_p13,Liquigás,23,"R$ 110,0",comercial,dinheiro,,OK
2024-01-09,200120,comercio,agua_500ml,Crystal,10,2.5,comercial,boleto,33.569.984/0001-12,OK
2024-01-20,200121,comercio,galao_25l,Lindoya,32,26.0,whatsapp,boleto,97.938.859/0001-78,OK
2024-01-24,200122,comercio,gas_p13,Liquigás,32,"R$ 110,0",balcao,dinheiro,14.261.389/0001-90,OK
2024-01-30,200123,comercio,galao_25l,Bonafont,33,26.0,comercial,pix,,PENDENTE
2024-01-29,200124,comercio,galao_25l,Bonafont,6,"R$ 26,0",telefone,debito,42.970.862/0001-59,OK
2024-01-29,200125,comercio,galao_25l,Bonafont,27,"26,0",telefone,dinheiro,41.286.574/0001-65,OK
2024-01-23,200126,comercio,gas_p13,Liquigás,3,110.0,telefone,credito,96.744.838/0001-60,OK
2024-04-01,200127,comercio,agua_500ml,Minalba,2,2.5,balcao,pix,68.653.240/0001-24,OK
2024-01-17,200128,comercio,gas_p13,Liquigás,21,110.0,telefone,debito,85.476.770/0001-49,OK
2024-01-30,200129,comercio,gas_p45,Fogás,31,380.0,telefone,credito,98.951.853/0001-40,OK
2024-01-01,200130,consumidor_final,agua_500ml,Crystal,8,2.5,telefone,pix,,OK
2024-01-24,200131,comercio,gas_p13,Liquigás,34,110.0,whatsapp,credito,57.268.548/0001-23,OK
2024-01-21,200132,comercio,galao_25l,Lindoya,2,26.0,comercial,boleto,58.419.927/0001-91,OK
2024-01-26,200133,comercio,gas_p13,Ultragaz,46,110.0,whatsapp,boleto,34.845.419/0001-86,OK
2024-01-24,200134,comercio,gas_p13,Liquigás,36,"R$ 110,0",whatsapp,boleto,,PENDENTE
2024-10-01,200135,consumidor_final,galao_25l,Bonafont,6,26.0,balcao,pix,,OK
2024-01-04,200136,comercio,agua_500ml,Crystal,39,2.5,telefone,boleto,59.495.386/0001-23,OK
2024-01-18,200137,consumidor_final,gas_p13,Liquigás,24,110.0,whatsapp,dinheiro,,OK
2024-12-01,200138,comercio,agua_500ml,Minalba,37,2.5,whatsapp,pix,70.425.511/0001-89,OK
2024-01-18,200139,comercio,gas_p13,Liquigás,27,"R$ 110,0",balcao,boleto,18.950.881/0001-84,OK
2024-01-04,200140,comercio,galao_25l,Bonafont,23,26.0,whatsapp,credito,57.750.411/0001-66,OK
2024-01-01,200141,comercio,galao_25l,Bonafont,18,26.0,telefone,pix,35.559.449/0001-22,OK
2024-01-31,200142,comercio,agua_500ml,Minalba,45,2.5,comercial,boleto,91.328.984/0001-66,OK
2024-08-01,200143,comercio,agua_500ml,Crystal,40,"2,5",comercial,pix,34.655.506/0001-43,OK
2024-06-01,200144,comercio,gas_p45,Fogás,18,"R$ 380,0",balcao,boleto,68.236.356/0001-94,OK
2024-01-19,200145,comercio,galao_25l,Lindoya,30,26.0,comercial,pix,89.382.790/0001-69,OK
2024-01-01,200146,comercio,gas_p45,Fogás,40,380.0,whatsapp,dinheiro,94.808.387/0001-37,OK
2024-01-16,200147,comercio,agua_500ml,Minalba,10,2.5,balcao,credito,56.781.701/0001-31,OK
2024-01-28,200148,comercio,gas_p45,Copagaz,34,"380,0",telefone,boleto,98.643.485/0001-25,OK
2024-01-22,200149,comercio,gas_p45,Fogás,18,380.0,telefone,boleto,37.160.931/0001-96,OK
2024-01-04,200150,comercio,gas_p13,Ultragaz,14,110.0,balcao,credito,19.598.588/0001-23,OK
2024-01-06,200151,consumidor_final,agua_500ml,Minalba,6,2.5,balcao,credito,,OK
2024-01-05,200152,comercio,gas_p13,Ultragaz,48,110.0,telefone,pix,,PENDENTE
2024-05-01,200153,comercio,galao_25l,Lindoya,1,"R$ 26,0",whatsapp,boleto,95.271.729/0001-58,OK
2024-01-18,200154,comercio,agua_500ml,Crystal,19,2.5,whatsapp,pix,27.187.514/0001-99,OK
2024-01-22,200155,comercio,gas_p13,Ultragaz,12,"R$ 110,0",whatsapp,dinheiro,,PENDENTE
2024-01-22,200156,comercio,gas_p45,Copagaz,28,380.0,balcao,dinheiro,88.119.350/0001-67,OK
2024-01-12,200157,comercio,gas_p13,Ultragaz,1,110.0,telefone,dinheiro,54.507.780/0001-91,OK
2024-06-01,200158,comercio,galao_25l,Lindoya,37,26.0,balcao,Não Informado,,PENDENTE
2024-01-31,200159,consumidor_final,galao_25l,Lindoya,19,26.0,whatsapp,boleto,,OK
2024-01-04,200160,comercio,gas_p45,Copagaz,34,380.0,comercial,debito,14.583.588/0001-79,OK
2024-01-16,200161,consumidor_final,gas_p45,Copagaz,31,380.0,telefone,credito,,OK
2024-02-01,200162,consumidor_final,agua_500ml,Minalba,15,"2,5",telefone,debito,,OK
2024-01-14,200164,consumidor_final,agua_500ml,Minalba,36,2.5,telefone,dinheiro,,OK
2024-01-16,200165,comercio,gas_p45,Fogás,18,380.0,whatsapp,boleto,35.245.343/0001-66,OK
2024-01-14,200166,consumidor_final,agua_500ml,Minalba,43,"R$ 2,5",balcao,dinheiro,,OK
2024-09-01,200167,comercio,galao_25l,Lindoya,49,26.0,whatsapp,credito,,PENDENTE
2024-01-30,200168,comercio,galao_25l,Lindoya,24,26.0,whatsapp,Não Informado,53.854.804/0001-64,OK
2024-01-22,200169,consumidor_final,agua_500ml,Minalba,1,2.5,balcao,pix,,OK
2024-01-16,200170,consumidor_final,galao_25l,Bonafont,2,26.0,balcao,dinheiro,,OK
2024-01-31,200171,comercio,galao_25l,Lindoya,16,26.0,telefone,boleto,39.739.752/0001-13,OK
2024-01-18,200172,comercio,agua_500ml,Crystal,11,2.5,balcao,boleto,,PENDENTE
2024-01-30,200173,comercio,agua_500ml,Crystal,31,2.5,telefone,pix,86.999.721/0001-55,OK
2024-01-08,200174,consumidor_final,galao_25l,Bonafont,34,26.0,telefone,boleto,,OK
2024-01-13,200175,comercio,gas_p13,Ultragaz,50,110.0,telefone,boleto,79.791.185/0001-69,OK
2024-01-12,200176,comercio,gas_p45,Fogás,34,380.0,comercial,pix,37.868.422/0001-28,OK
2024-08-01,200177,comercio,gas_p45,Fogás,2,380.0,balcao,boleto,19.238.932/0001-37,OK
2024-01-21,200178,comercio,galao_25l,Bonafont,22,26.0,whatsapp,pix,20.364.305/0001-41,OK
2024-01-26,200179,comercio,galao_25l,Lindoya,21,26.0,telefone,credito,50.788.361/0001-92,OK
2024-01-27,200180,comercio,agua_500ml,Crystal,41,2.5,balcao,debito,10.444.689/0001-31,OK
2024-01-01,200181,comercio,agua_500ml,Minalba,46,2.5,whatsapp,credito,38.815.887/0001-83,OK
2024-01-07,200182,comercio,agua_500ml,Crystal,1,2.5,telefone,boleto,28.747.824/0001-81,OK
2024-01-12,200183,comercio,gas_p45,Fogás,8,380.0,telefone,boleto,83.302.321/0001-17,OK
2024-04-01,200184,comercio,galao_25l,Lindoya,13,"R$ 26,0",whatsapp,Não Informado,51.122.904/0001-87,OK
2024-01-19,200185,comercio,galao_25l,Lindoya,49,26.0,comercial,boleto,35.513.334/0001-70,OK
2024-01-17,200186,comercio,galao_25l,Bonafont,23,"R$ 26,0",comercial,debito,67.365.260/0001-71,OK
2024-01-16,200187,comercio,gas_p45,Copagaz,37,380.0,comercial,boleto,73.997.486/0001-73,OK
2024-01-22,200188,comercio,gas_p45,Copagaz,33,380.0,comercial,debito,27.375.330/0001-16,OK
2024-01-24,200189,comercio,agua_500ml,Crystal,29,2.5,whatsapp,debito,69.635.994/0001-49,OK
2024-01-30,200190,comercio,gas_p13,Liquigás,1,"110,0",whatsapp,debito,61.191.683/0001-66,OK
2024-01-17,200191,consumidor_final,galao_25l,Lindoya,19,26.0,telefone,dinheiro,,OK
2024-01-10,200192,consumidor_final,agua_500ml,Crystal,20,2.5,whatsapp,boleto,,OK
2024-01-13,200193,comercio,agua_500ml,Minalba,31,2.5,whatsapp,dinheiro,56.788.880/0001-38,OK
2024-01-15,200194,comercio,galao_25l,Bonafont,47,26.0,comercial,debito,98.867.151/0001-31,OK
2024-01-01,200195,comercio,agua_500ml,Crystal,24,2.5,balcao,debito,92.866.480/0001-67,OK
2024-10-01,200196,comercio,gas_p13,Liquigás,40,110.0,comercial,dinheiro,88.259.169/0001-66,OK
2024-01-28,200197,comercio,galao_25l,Bonafont,17,26.0,whatsapp,credito,46.114.195/0001-21,OK
2024-01-21,200198,comercio,gas_p13,Liquigás,4,110.0,whatsapp,pix,35.907.876/0001-42,OK
2024-01-30,200199,comercio,gas_p45,Copagaz,9,380.0,telefone,debito,37.862.717/0001-44,OK
2024-01-31,200200,comercio,galao_25l,Bonafont,37,26.0,balcao,debito,91.152.859/0001-38,OK
2024-01-25,200201,consumidor_final,galao_25l,Bonafont,18,26.0,comercial,pix,,OK
2024-01-30,200202,comercio,gas_p45,Fogás,21,380.0,balcao,boleto,52.219.660/0001-22,OK
2024-01-01,200203,consumidor_final,agua_500ml,Minalba,50,2.5,telefone,pix,,OK
2024-01-18,200204,comercio,galao_25l,Bonafont,29,26.0,telefone,pix,95.693.483/0001-44,OK
2024-01-17,200205,comercio,gas_p45,Fogás,2,380.0,balcao,pix,50.541.497/0001-40,OK
2024-02-01,200206,comercio,gas_p45,Fogás,1,380.0,comercial,pix,18.174.581/0001-20,OK
2024-01-05,200207,comercio,agua_500ml,Minalba,12,2.5,telefone,debito,33.696.791/0001-25,OK
2024-01-20,200208,comercio,gas_p13,Liquigás,32,110.0,telefone,pix,93.374.862/0001-76,OK
2024-01-13,200209,comercio,agua_500ml,Crystal,24,2.5,balcao,debito,67.610.317/0001-82,OK
2024-01-30,200210,consumidor_final,galao_25l,Lindoya,31,26.0,balcao,pix,,OK
2024-01-16,200211,comercio,gas_p45,Fogás,6,380.0,comercial,dinheiro,53.760.700/0001-63,OK
2024-01-20,200212,comercio,gas_p45,Fogás,38,380.0,comercial,dinheiro,13.831.127/0001-28,OK
2024-01-14,200213,comercio,galao_25l,Bonafont,38,"R$ 26,0",telefone,dinheiro,,PENDENTE
2024-01-29,200214,comercio,galao_25l,Bonafont,50,26.0,whatsapp,credito,71.838.983/0001-22,OK
2024-01-02,200215,comercio,gas_p13,Liquigás,27,110.0,comercial,boleto,40.870.940/0001-70,OK
2024-01-23,200216,comercio,gas_p13,Ultragaz,25,110.0,balcao,dinheiro,42.284.678/0001-60,OK
2024-01-29,200217,consumidor_final,agua_500ml,Crystal,49,2.5,telefone,pix,,OK
2024-01-18,200218,comercio,gas_p45,Fogás,25,380.0,balcao,debito,83.911.163/0001-54,OK
2024-01-06,200219,comercio,agua_500ml,Minalba,1,"R$ 2,5",balcao,dinheiro,96.721.146/0001-87,OK
2024-01-18,200220,comercio,galao_25l,Lindoya,43,26.0,whatsapp,Não Informado,94.286.103/0001-89,OK
2024-01-19,200221,comercio,gas_p45,Copagaz,1,380.0,telefone,boleto,,PENDENTE
2024-09-01,200222,comercio,galao_25l,Bonafont,50,"R$ 26,0",comercial,boleto,43.649.951/0001-25,OK
2024-01-15,200223,comercio,galao_25l,Lindoya,27,26.0,whatsapp,boleto,,PENDENTE
2024-01-13,200224,comercio,galao_25l,Bonafont,23,"R$ 26,0",comercial,pix,69.235.613/0001-44,OK
2024-01-18,200225,comercio,galao_25l,Bonafont,34,26.0,whatsapp,boleto,,PENDENTE
2024-01-26,200226,comercio,gas_p45,Fogás,14,380.0,comercial,debito,94.306.264/0001-14,OK
2024-01-29,200227,consumidor_final,gas_p13,Ultragaz,3,110.0,comercial,pix,,OK
2024-08-01,200228,comercio,gas_p13,Ultragaz,39,110.0,telefone,dinheiro,,PENDENTE
2024-01-18,200229,comercio,galao_25l,Bonafont,9,26.0,whatsapp,boleto,90.373.122/0001-44,OK
2024-01-11,200230,consumidor_final,galao_25l,Lindoya,22,26.0,whatsapp,dinheiro,,OK
2024-11-01,200231,comercio,gas_p13,Liquigás,49,110.0,balcao,debito,,PENDENTE
2024-01-07,200232,comercio,gas_p45,Fogás,21,380.0,telefone,debito,77.513.494/0001-22,OK
2024-01-19,200233,comercio,galao_25l,Bonafont,14,26.0,whatsapp,dinheiro,57.281.572/0001-89,OK
2024-01-19,200234,consumidor_final,galao_25l,Lindoya,26,26.0,balcao,pix,,OK
2024-08-01,200235,consumidor_final,gas_p45,Copagaz,50,380.0,whatsapp,pix,,OK
2024-01-31,200236,comercio,agua_500ml,Crystal,20,2.5,telefone,debito,85.941.723/0001-68,OK
2024-01-25,200237,comercio,agua_500ml,Crystal,12,2.5,whatsapp,boleto,54.845.740/0001-23,OK
2024-01-19,200238,comercio,gas_p45,Fogás,1,380.0,balcao,credito,25.231.401/0001-75,OK
2024-01-01,200239,comercio,galao_25l,Lindoya,29,"R$ 26,0",whatsapp,boleto,94.909.975/0001-78,OK
2024-12-01,200240,comercio,agua_500ml,Minalba,30,2.5,telefone,Não Informado,70.515.269/0001-94,OK
2024-01-27,200241,comercio,gas_p13,Liquigás,23,110.0,balcao,credito,47.660.276/0001-53,OK
2024-01-19,200242,comercio,galao_25l,Lindoya,34,26.0,whatsapp,boleto,38.152.728/0001-40,OK
2024-01-20,200243,comercio,gas_p45,Fogás,40,380.0,balcao,boleto,21.346.678/0001-78,OK
2024-01-16,200244,comercio,agua_500ml,Minalba,36,2.5,comercial,debito,70.906.212/0001-71,OK
2024-01-15,200245,comercio,gas_p45,Fogás,42,380.0,telefone,boleto,62.341.100/0001-97,OK
2024-01-16,200246,comercio,galao_25l,Lindoya,26,26.0,comercial,dinheiro,25.468.513/0001-48,OK
2024-01-15,200247,comercio,gas_p45,Fogás,48,380.0,telefone,debito,43.648.487/0001-12,OK
2024-01-17,200248,comercio,gas_p13,Liquigás,19,110.0,comercial,credito,84.119.232/0001-72,OK
2024-01-15,200249,consumidor_final,gas_p13,Ultragaz,3,"110,0",whatsapp,debito,,OK
2024-01-27,200250,comercio,agua_500ml,Minalba,34,2.5,balcao,boleto,95.963.328/0001-18,OK
2024-01-07,200251,comercio,gas_p45,Copagaz,45,380.0,comercial,boleto,39.934.539/0001-97,OK
2024-01-12,200252,comercio,agua_500ml,Minalba,41,2.5,telefone,pix,,PENDENTE
2024-01-16,200253,comercio,galao_25l,Lindoya,25,26.0,whatsapp,boleto,27.374.427/0001-80,OK
2024-01-24,200254,comercio,gas_p13,Ultragaz,1,110.0,comercial,dinheiro,49.317.378/0001-65,OK
2024-01-17,200255,consumidor_final,gas_p45,Copagaz,47,380.0,comercial,credito,,OK
2024-01-11,200256,comercio,agua_500ml,Crystal,49,2.5,comercial,boleto,88.263.167/0001-48,OK
2024-01-27,200257,comercio,agua_500ml,Minalba,36,2.5,balcao,pix,99.213.472/0001-14,OK
2024-01-25,200258,comercio,gas_p45,Fogás,27,380.0,balcao,pix,37.126.866/0001-31,OK
2024-01-20,200259,comercio,galao_25l,Lindoya,38,26.0,balcao,credito,41.703.474/0001-84,OK
2024-01-26,200260,comercio,agua_500ml,Crystal,38,2.5,comercial,boleto,10.653.473/0001-55,OK
2024-01-20,200261,comercio,gas_p45,Copagaz,28,380.0,balcao,pix,48.861.314/0001-65,OK
2024-10-01,200262,comercio,gas_p45,Copagaz,47,380.0,whatsapp,dinheiro,11.987.258/0001-68,OK
2024-01-29,200263,comercio,gas_p13,Ultragaz,14,110.0,comercial,debito,66.436.848/0001-58,OK
2024-12-01,200264,comercio,gas_p13,Ultragaz,7,110.0,whatsapp,dinheiro,69.874.209/0001-60,OK
